iter	Passed	Remaining
900	1873	205
901	1876	203
902	1877	201
903	1879	199
904	1881	197
905	1882	195
906	1884	193
907	1886	191
908	1888	189
909	1889	186
910	1891	184
911	1893	182
912	1895	180
913	1896	178
914	1898	176
915	1900	174
916	1902	172
917	1904	170
918	1906	167
919	1907	165
920	1909	163
921	1910	161
922	1912	159
923	1914	157
924	1915	155
925	1917	153
926	1918	151
927	1920	149
928	1922	146
929	1924	144
930	1926	142
931	1928	140
932	1930	138
933	1932	136
934	1934	134
935	1935	132
936	1937	130
937	1938	128
938	1940	126
939	1942	123
940	1944	121
941	1946	119
942	1947	117
943	1949	115
944	1950	113
945	1952	111
946	1954	109
947	1955	107
948	1957	105
949	1959	103
950	1960	101
951	1962	98
952	1964	96
953	1965	94
954	1967	92
955	1968	90
956	1971	88
957	1972	86
958	1974	84
959	1975	82
960	1977	80
961	1978	78
962	1980	76
963	1982	74
964	1983	71
965	1985	69
966	1987	67
967	1989	65
968	1990	63
969	1992	61
970	1994	59
971	1997	57
972	1999	55
973	2001	53
974	2002	51
975	2004	49
976	2005	47
977	2007	45
978	2009	43
979	2010	41
980	2012	38
981	2014	36
982	2016	34
983	2018	32
984	2019	30
985	2021	28
986	2023	26
987	2025	24
988	2026	22
989	2028	20
990	2029	18
991	2031	16
992	2032	14
993	2034	12
994	2035	10
995	2037	8
996	2039	6
997	2041	4
998	2043	2
999	2044	0
